ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
10352027,HY542782,12/19/2015 6:32,014XX W DIVISION ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,FALSE,FALSE,1433,14,1,24,11,2015,10/2/2018 15:50
10352320,HY543277,12/19/2015 6:30,091XX S WENTWORTH AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,634,6,21,49,7,2015,10/2/2018 15:50
10353969,HY544960,12/19/2015 6:30,056XX S DR MARTIN LUTHER KING JR DR,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,231,2,20,40,14,2015,10/2/2018 15:50
10351996,HY542720,12/19/2015 6:12,022XX W MONROE ST,454,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,FALSE,FALSE,1223,12,2,28,08B,2015,10/2/2018 15:50
10351957,HY542715,12/19/2015 6:07,002XX W GARFIELD BLVD,484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA PLATFORM,TRUE,FALSE,935,9,3,37,08B,2015,10/2/2018 15:50
10354322,HY545661,12/19/2015 6:00,079XX S WESTERN AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,FALSE,TRUE,835,8,18,70,26,2015,10/2/2018 15:50
10357313,HY548409,12/19/2015 6:00,055XX S MAYFIELD AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,811,8,23,56,5,2015,10/2/2018 15:50
10351971,HY542713,12/19/2015 5:40,081XX S MARSHFIELD AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,TRUE,TRUE,614,6,18,71,5,2015,10/2/2018 15:50
10351939,HY542709,12/19/2015 5:30,034XX W 62ND PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,823,8,15,66,08B,2015,10/2/2018 15:50
10352261,HY543154,12/19/2015 5:20,059XX S PULASKI RD,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,813,8,13,65,08B,2015,10/2/2018 15:50
10351918,HY542703,12/19/2015 5:20,006XX N ST CLAIR ST,460,BATTERY,SIMPLE,RESTAURANT,TRUE,FALSE,1834,18,42,8,08B,2015,10/2/2018 15:50
10351937,HY542710,12/19/2015 5:13,012XX W LOYOLA AVE,460,BATTERY,SIMPLE,CTA TRAIN,TRUE,FALSE,2432,24,40,1,08B,2015,10/2/2018 15:50
10351926,HY542696,12/19/2015 5:05,046XX S COTTAGE GROVE AVE,610,BURGLARY,FORCIBLE ENTRY,CURRENCY EXCHANGE,FALSE,FALSE,221,2,4,38,5,2015,10/2/2018 15:50
10351997,HY542695,12/19/2015 5:03,001XX E 51ST ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,231,2,3,40,7,2015,10/2/2018 15:50
